id,text,tokenized,spam_label,spam_label_vn,sentiment_label,sentiment_label_vn
1,"Nói thật là dịch vụ bên bạn cực kỳ thú vị, liên quan đến ứng dụng học từ vựng. 😅","Nói thật là dịch_vụ bên bạn cực_kỳ thú_vị , liên_quan đến ứng_dụng học từ vựng . 😅",không spam,Không spam,positive,Tích cực
2,"Theo mình dịch vụ bên bạn rất hữu ích, liên quan đến ứng dụng học từ vựng. 😀 :v","Theo mình dịch_vụ bên bạn rất hữu_ích , liên_quan đến ứng_dụng học từ vựng . 😀 : v",không spam,Không spam,positive,Tích cực
3,"Nói thật là bài viết này quá chất, liên quan đến khóa học tiếng Anh. :v","Nói thật là bài viết này quá chất , liên_quan đến khóa học tiếng Anh . : v",không spam,Không spam,negative,Tiêu cực
4,"Đọc xong chỉ biết nói là video này đáng tiền, liên quan đến page công nghệ. :v","Đọc xong chỉ biết nói là video này đáng tiền , liên_quan đến page công_nghệ . : v",không spam,Không spam,neutral,Trung lập
5,"Đọc xong chỉ biết nói là video này đáng tiền, liên quan đến sản phẩm chăm sóc da. 😢","Đọc xong chỉ biết nói là video này đáng tiền , liên_quan đến sản_phẩm chăm_sóc da . 😢",không spam,Không spam,positive,Tích cực
6,"Inbox mình hướng dẫn kiếm 100k mỗi ngày, uy tín 100%","Inbox mình hướng_dẫn kiếm 100 k mỗi ngày , uy_tín 100 %",spam,Spam,neutral,Trung lập
7,"Không biết mọi người sao chứ mình sản phẩm này không như quảng cáo, chắc sẽ không dùng lại đâu. 😢","Không biết mọi người sao chứ mình sản_phẩm này không như quảng_cáo , chắc sẽ không dùng lại đâu . 😢",không spam,Không spam,neutral,Trung lập
8,Click link này nhận voucher 20%: http://short.link/promo 😢,Click link này nhận voucher 20 % : http://short.link/promo 😢,spam,Spam,negative,Tiêu cực
9,"Mình thấy dịch vụ bên bạn ưng ý lắm, liên quan đến khóa học NLP. :v","Mình thấy dịch_vụ bên bạn ưng_ý lắm , liên_quan đến khóa học NLP. : v",không spam,Không spam,neutral,Trung lập
10,"Không biết mọi người sao chứ mình dịch vụ bên bạn ai quan tâm thì vào xem, mọi người tự trải nghiệm nhé. 😢 :v","Không biết mọi người sao chứ mình dịch_vụ bên bạn ai quan_tâm thì vào xem , mọi người tự trải_nghiệm nhé . 😢 : v",không spam,Không spam,neutral,Trung lập
11,"Đọc xong chỉ biết nói là khóa học online hỗ trợ chán, chắc sẽ không dùng lại đâu. 😂","Đọc xong chỉ biết nói là khóa học online hỗ_trợ chán , chắc sẽ không dùng lại đâu . 😂",không spam,Không spam,neutral,Trung lập
12,"Cá nhân mình thì giảng viên ưng ý lắm, liên quan đến kênh YouTube dạy lập trình. 👍","Cá_nhân mình thì giảng_viên ưng_ý lắm , liên_quan đến kênh YouTube_dạy lập_trình . 👍",không spam,Không spam,negative,Tiêu cực
13,"Mình thấy giảng viên không như quảng cáo, chắc sẽ không dùng lại đâu. ❤","Mình thấy giảng_viên không như quảng_cáo , chắc sẽ không dùng lại đâu . ❤",không spam,Không spam,negative,Tiêu cực
14,"Mình thấy nội dung bài giảng xịn sò, liên quan đến cửa hàng đồ công nghệ. ❤","Mình thấy nội_dung bài giảng xịn_sò , liên_quan đến cửa_hàng đồ công_nghệ . ❤",không spam,Không spam,positive,Tích cực
15,"Nếu bạn đang phân vân thì khóa học online mình chưa thử, mọi người tự trải nghiệm nhé. 😂","Nếu bạn đang phân_vân thì khóa_học online mình chưa thử , mọi người tự trải_nghiệm nhé . 😂",không spam,Không spam,neutral,Trung lập
16,"Ai quan tâm thì bài viết này không như quảng cáo, chắc sẽ không dùng lại đâu. :v","Ai quan_tâm thì bài viết này không như quảng_cáo , chắc sẽ không dùng lại đâu . : v",không spam,Không spam,neutral,Trung lập
17,"Ai quan tâm thì video này xịn sò, liên quan đến sản phẩm chăm sóc da.","Ai quan_tâm thì video này xịn_sò , liên_quan đến sản_phẩm chăm_sóc da .",không spam,Không spam,neutral,Trung lập
18,"Tham gia khóa học kiếm tiền online chỉ với 1 triệuk, chi tiết tại http://tinyurl.com/abcd #khuyenmai #giveaway","Tham_gia khóa học kiếm tiền online chỉ với 1 triệuk , chi_tiết tại http://tinyurl.com/abcd #_khuyenmai # giveaway",spam,Spam,neutral,Trung lập
19,"Nếu bạn đang phân vân thì tính năng mới quá chất, liên quan đến khóa học Python. 😅 :v","Nếu bạn đang phân_vân thì tính_năng mới quá_chất , liên_quan đến khóa học Python . 😅 : v",không spam,Không spam,neutral,Trung lập
20,"Mình thấy dịch vụ bên bạn quá chất, liên quan đến khóa học Python. :v","Mình thấy dịch_vụ bên bạn quá chất , liên_quan đến khóa học Python . : v",không spam,Không spam,positive,Tích cực
21,"Cá nhân mình thì nội dung bài giảng hài lòng, liên quan đến quán cà phê mới. 😍","Cá_nhân mình thì nội_dung bài giảng hài_lòng , liên_quan đến quán cà_phê mới . 😍",không spam,Không spam,positive,Tích cực
22,"Bán acc game giá rẻ, ai cần cmt số điện thoại #khuyenmai #giveaway","Bán acc game giá rẻ , ai cần cmt số điện_thoại #_khuyenmai # giveaway",spam,Spam,neutral,Trung lập
23,"Mình thấy app này lừa đảo, chắc sẽ không dùng lại đâu. 😅 :v","Mình thấy app này lừa_đảo , chắc sẽ không dùng lại đâu . 😅 : v",spam,Spam,negative,Tiêu cực
